First,Last
Brian,Dumoulin
Josh,Manson
Nick,Seeler
Blake,Wheeler
Alex,Ovechkin
Braden,Schneider
Jack,McBain
Alexey,Toropchenko
Bryan,Rust
Pierre-Edouard,Bellemare
Conor,Timmins
Simon,Benoit
Clayton,Keller
Johnny,Gaudreau
Ryan,Lomberg
Zach,Whitecloud
Calvin,de Haan
Travis,Boyd
Jacob,Bryson
Pierre-Olivier,Joseph
Matias,Maccelli
Brendan,Gallagher
Jeff,Skinner
Eetu,Luostarinen
Jake,Neighbours
Jeremy,Lauzon
Ryan,Graves
Mats,Zuccarello
Ilya,Mikheyev
Neal,Pionk
Mark,Scheifele
Martin,Kaut
Dmitry,Orlov
Michael,Stone
Markus,Niemelainen
Sean,Kuraly
Elias,Pettersson
Evgeni,Malkin
Wade,Allison
Derek,Ryan
Devon,Toews
Robert,Thomas
Jeff,Carter
Arthur,Kaliyev
Drew,Doughty
Colton,White
Dylan,Samberg
Mike,Reilly
J.T.,Compher
Paul,Cotter
Brock,Boeser
Noel,Acciari
Dryden,Hunt
Alexis,Lafrenire
Jared,McCann
Jalen,Chatfield
Miles,Wood
Matt,Grzelcyk
Kailer,Yamamoto
Andrew,Peeke
Josh,Archibald
Dylan,Cozens
Zach,Werenski
Cale,Makar
Matt,Benning
Seth,Jarvis
Jakub,Zboril
Jamie,Benn
Alec,Regula
Mathew,Barzal
Nico,Hischier
Zack,MacEwen
Ryan,Strome
Lukas,Sedlak
Devin,Shore
Gabriel,Vilardi
Mitchell,Marner
Alexander,Romanov
Jordan,Eberle
Dougie,Hamilton
Jake,Evans
Max,Comtois
Jonah,Gadjovich
Jakub,Voracek
Sammy,Blais
Mason,McTavish
Tony,DeAngelo
David,Pastrnak
Sidney,Crosby
